Strategy,Vehicles count,"Cost (0.3, 0.7)"
GTA-V,250,3.36
GTA-V,250,3.39
GTA-V,250,3.36
GTA-V,250,3.37
GTA-V,250,3.35
GTA-V,250,3.36
GTA-V,250,3.37
GTA-V,250,3.35
GTA-V,250,3.35
GTA-V,250,3.36
DECO,250,2.48
DECO,250,2.48
DECO,250,2.48
DECO,250,2.48
DECO,250,2.48
DECO,250,2.48
DECO,250,2.48
DECO,250,2.48
DECO,250,2.48
DECO,250,2.48
Local,250,6.04
Local,250,6.04
Local,250,6.03
Local,250,6.04
Local,250,6.04
Local,250,6.05
Local,250,6.04
Local,250,6.06
Local,250,6.05
Local,250,6.05
Random,250,4.99
Random,250,5.01
Random,250,5.04
Random,250,5.08
Random,250,5.06
Random,250,5.01
Random,250,5.02
Random,250,5.04
Random,250,5.11
Random,250,4.98
Greedy,250,2.48
Greedy,250,2.48
Greedy,250,2.48
Greedy,250,2.48
Greedy,250,2.48
Greedy,250,2.48
Greedy,250,2.48
Greedy,250,2.48
Greedy,250,2.48
Greedy,250,2.48
GTA-V,500,3.65
GTA-V,500,3.65
GTA-V,500,3.67
GTA-V,500,3.66
GTA-V,500,3.65
GTA-V,500,3.66
GTA-V,500,3.66
GTA-V,500,3.67
GTA-V,500,3.67
GTA-V,500,3.65
DECO,500,2.55
DECO,500,2.55
DECO,500,2.55
DECO,500,2.54
DECO,500,2.55
DECO,500,2.54
DECO,500,2.55
DECO,500,2.55
DECO,500,2.55
DECO,500,2.55
Local,500,6.41
Local,500,6.41
Local,500,6.41
Local,500,6.42
Local,500,6.41
Local,500,6.41
Local,500,6.42
Local,500,6.41
Local,500,6.41
Local,500,6.41
Random,500,5.3
Random,500,5.34
Random,500,5.33
Random,500,5.29
Random,500,5.34
Random,500,5.32
Random,500,5.29
Random,500,5.37
Random,500,5.29
Random,500,5.32
Greedy,500,2.55
Greedy,500,2.55
Greedy,500,2.55
Greedy,500,2.55
Greedy,500,2.54
Greedy,500,2.55
Greedy,500,2.55
Greedy,500,2.55
Greedy,500,2.55
Greedy,500,2.55
GTA-V,750,3.84
GTA-V,750,3.83
GTA-V,750,3.82
GTA-V,750,3.8
GTA-V,750,3.82
GTA-V,750,3.82
GTA-V,750,3.83
GTA-V,750,3.85
GTA-V,750,3.84
GTA-V,750,3.83
DECO,750,2.6
DECO,750,2.6
DECO,750,2.6
DECO,750,2.6
DECO,750,2.6
DECO,750,2.6
DECO,750,2.6
DECO,750,2.6
DECO,750,2.6
DECO,750,2.6
Local,750,6.65
Local,750,6.65
Local,750,6.65
Local,750,6.65
Local,750,6.65
Local,750,6.65
Local,750,6.65
Local,750,6.65
Local,750,6.65
Local,750,6.65
Random,750,5.48
Random,750,5.45
Random,750,5.49
Random,750,5.47
Random,750,5.48
Random,750,5.49
Random,750,5.47
Random,750,5.48
Random,750,5.48
Random,750,5.44
Greedy,750,2.6
Greedy,750,2.6
Greedy,750,2.6
Greedy,750,2.6
Greedy,750,2.6
Greedy,750,2.6
Greedy,750,2.6
Greedy,750,2.6
Greedy,750,2.6
Greedy,750,2.6
GTA-V,1000,3.96
GTA-V,1000,3.96
GTA-V,1000,3.93
GTA-V,1000,3.94
GTA-V,1000,3.95
GTA-V,1000,3.96
GTA-V,1000,3.95
GTA-V,1000,3.94
GTA-V,1000,3.96
GTA-V,1000,3.94
DECO,1000,2.65
DECO,1000,2.65
DECO,1000,2.66
DECO,1000,2.66
DECO,1000,2.66
DECO,1000,2.66
DECO,1000,2.66
DECO,1000,2.66
DECO,1000,2.65
DECO,1000,2.66
Local,1000,6.82
Local,1000,6.82
Local,1000,6.83
Local,1000,6.82
Local,1000,6.82
Local,1000,6.83
Local,1000,6.83
Local,1000,6.83
Local,1000,6.83
Local,1000,6.82
Random,1000,5.55
Random,1000,5.6
Random,1000,5.6
Random,1000,5.6
Random,1000,5.58
Random,1000,5.59
Random,1000,5.62
Random,1000,5.58
Random,1000,5.63
Random,1000,5.63
Greedy,1000,2.65
Greedy,1000,2.65
Greedy,1000,2.65
Greedy,1000,2.66
Greedy,1000,2.66
Greedy,1000,2.66
Greedy,1000,2.65
Greedy,1000,2.66
Greedy,1000,2.65
Greedy,1000,2.66
GTA-V,1250,4.05
GTA-V,1250,4.05
GTA-V,1250,4.03
GTA-V,1250,4.06
GTA-V,1250,4.06
GTA-V,1250,4.05
GTA-V,1250,4.03
GTA-V,1250,4.04
GTA-V,1250,4.06
GTA-V,1250,4.05
DECO,1250,2.7
DECO,1250,2.7
DECO,1250,2.7
DECO,1250,2.7
DECO,1250,2.7
DECO,1250,2.7
DECO,1250,2.7
DECO,1250,2.7
DECO,1250,2.7
DECO,1250,2.7
Local,1250,6.97
Local,1250,6.97
Local,1250,6.97
Local,1250,6.97
Local,1250,6.97
Local,1250,6.97
Local,1250,6.96
Local,1250,6.97
Local,1250,6.97
Local,1250,6.97
Random,1250,5.66
Random,1250,5.67
Random,1250,5.69
Random,1250,5.69
Random,1250,5.68
Random,1250,5.68
Random,1250,5.7
Random,1250,5.71
Random,1250,5.67
Random,1250,5.67
Greedy,1250,2.7
Greedy,1250,2.7
Greedy,1250,2.7
Greedy,1250,2.7
Greedy,1250,2.7
Greedy,1250,2.7
Greedy,1250,2.7
Greedy,1250,2.7
Greedy,1250,2.7

Greedy,1250,2.7
